PatientID,Diagnosis,BreedID,Breed,Age,Sex,Neutered,WeightChange,Weight,Hospitalised,HeartRate,Temperature,Vomiting,Diarrhoea,Hepatomegaly,ThinDrySkin,Alopecia,Pruritus,MuscleWastageWeakness,Lethargy,Panting,Neurological,Polydipsia,Polyuria,IncreasedALKP,IncreasedATL/GGT/AST,LowUSG,Proteinuria,Hypertensive,LowBloodSugar,Hypothyroid,CruciateSurgery
42,1,14962,Border Terrier,10,F,True,Weight loss,9.9,True,,,False,False,False,False,False,False,False,True,False,False,True,True,True,True,,,False,True,False,False
43,1,,Akita Inu,10,M,False,False,48.7,False,,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False
44,1,15087,Yorkshire Terrier,11,F,True,False,8.6,False,,,False,False,False,True,False,False,False,False,False,False,True,False,True,True,,True,False,False,False,False
45,1,14846,Cocker Spaniel,13,F,True,False,20.0,True,,38.3,False,False,False,True,False,False,False,False,False,False,True,True,,,True,True,False,False,False,False
46,1,15009,Jack Russell Terrier,13,F,True,False,6.15,False,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
47,1,14844,Cavalier King Charles Spaniel,11,F,False,False,11.9,False,160.0,38.6,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
48,1,15009,Jack Russell Terrier,11,F,True,False,8.0,False,80.0,,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False
49,1,15009,Jack Russell Terrier,10,M,False,Weight gain,16.2,False,,,False,False,True,True,False,False,False,False,False,False,True,True,True,True,,,False,False,True,False
50,1,14884,Springer Spaniel,12,F,True,Weight loss,20.7,False,,,False,False,True,False,True,False,False,False,False,False,True,True,True,,True,True,False,False,False,False
51,1,15009,Jack Russell Terrier,12,F,True,False,4.6,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,False,False,False,False
52,1,14672,Schnauzer,13,F,False,False,13.0,False,,,False,False,True,False,True,False,False,False,True,False,True,True,,,,,False,False,False,False
53,1,14833,Shih Tzu,14,F,True,False,5.72,False,,,False,False,True,True,True,False,False,True,False,False,False,False,True,True,,,False,False,False,False
54,1,14833,Shih Tzu,11,M,True,False,,False,88.0,,False,False,True,True,True,False,False,False,False,False,True,True,,,,,False,False,False,False
55,1,15086,West Highland White Terrier,11,F,True,False,8.45,False,,,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,,False,False,False,False
56,1,13714,Bichon Frise,8,F,True,Weight gain,9.98,False,80.0,,False,False,False,True,False,False,False,True,False,False,False,False,,,,,False,False,False,False
57,1,99999,Crossbreed,10,F,False,Weight loss,3.5,False,,,False,False,False,True,True,False,False,False,False,False,True,False,,,,,False,False,False,False
58,1,99999,Crossbreed,8,M,False,No change,23.5,False,,,False,False,True,False,False,False,False,False,False,False,True,True,True,True,,,False,False,False,False
59,1,15126,Corgi,13,F,True,Weight loss,12.5,False,110.0,,False,False,False,False,False,False,False,False,False,False,True,True,True,,,,False,False,False,False
60,1,99999,Crossbreed,11,F,True,Weight gain,10.05,False,100.0,,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
61,1,15009,Jack Russell Terrier,13,F,False,False,8.3,False,,,False,False,False,True,True,False,False,False,False,False,False,False,,,,,False,False,False,False
62,1,15086,West Highland White Terrier,14,F,True,False,10.7,False,112.0,38.2,False,True,True,False,True,False,False,True,True,False,True,True,,,True,False,False,False,False,True
63,1,15076,Staffordshire Bull Terrier,10,M,True,False,34.0,False,,,False,False,True,False,False,False,True,True,False,False,False,False,,,False,True,False,False,False,False
64,1,14962,Border Terrier,13,M,False,False,,False,120.0,,False,False,True,False,False,False,False,False,False,False,True,True,True,,True,False,False,False,False,False
65,1,15087,Yorkshire Terrier,10,M,False,False,6.3,False,120.0,,False,False,True,True,True,False,False,False,False,False,True,True,,,,,False,False,False,False
66,1,15009,Jack Russell Terrier,13,F,True,False,5.86,True,88.0,36.5,False,False,False,False,False,False,False,False,False,False,True,True,,,,,False,False,False,False
67,1,99999,Crossbreed,11,M,False,False,10.7,True,,,False,False,False,False,False,False,False,False,False,False,True,True,,,True,True,False,False,False,False
